No,Krusta,Kutuan,Gatal,Kulit Keropeng,Bulu Rontok,Kulit Kemerahan,Pioderma,Nanah,Luka,Bulatan Cincin,Ketombe,Benjolan Lunak,Kulit Bersisik,Kotoran Kulit Merah Kecokelatan,Penyakit
1,9,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
2,8,0,8,8,5,5,0,0,7,0,0,0,0,0,Scabies
3,8,0,8,8,5,5,0,0,8,0,5,0,0,0,Scabies
4,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
5,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
6,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
7,5,0,8,8,5,5,0,0,6,0,0,0,0,0,Scabies
8,8,0,8,8,5,5,0,0,8,0,0,0,0,0,Scabies
9,5,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
10,9,0,9,9,9,5,8,0,9,0,5,0,0,0,Scabies
11,8,0,8,8,5,8,0,0,8,0,0,0,0,0,Scabies
12,8,0,8,8,5,8,0,0,8,0,0,0,0,0,Scabies
13,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
14,9,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
15,8,0,8,8,9,8,0,0,8,0,0,0,0,0,Scabies
16,8,0,8,6,5,8,0,0,8,0,0,0,0,0,Scabies
17,8,0,8,8,9,8,0,0,8,0,0,0,0,0,Scabies
18,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
19,5,0,8,8,8,8,5,0,8,0,0,0,0,0,Scabies
20,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
21,8,0,5,8,8,5,0,0,8,0,0,0,0,0,Scabies
22,5,0,8,8,5,8,0,0,8,0,0,0,0,0,Scabies
23,8,0,9,8,8,5,0,0,9,0,5,0,0,0,Scabies
24,8,0,8,8,9,8,0,0,9,0,5,0,0,0,Scabies
25,9,0,8,8,9,8,8,0,8,0,0,0,0,0,Scabies
26,8,0,8,8,5,5,0,0,8,0,0,0,0,0,Scabies
27,8,0,8,8,5,5,0,0,8,0,0,0,0,0,Scabies
28,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
29,5,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
30,8,0,9,8,9,8,0,0,8,0,0,0,0,0,Scabies
31,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
32,8,0,8,8,5,8,0,0,8,0,0,0,0,0,Scabies
33,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
34,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
35,8,0,8,8,5,8,0,0,8,0,0,0,0,0,Scabies
36,5,0,8,8,5,5,0,0,8,0,0,0,0,0,Scabies
37,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
38,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
39,5,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
40,5,0,8,8,8,8,0,0,8,0,5,0,0,0,Scabies
41,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
42,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
43,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
44,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
45,8,0,8,8,5,8,0,0,8,0,0,0,0,0,Scabies
46,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
47,8,0,8,8,5,8,0,0,8,0,0,0,0,0,Scabies
48,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
49,8,0,8,8,8,8,0,0,8,0,5,0,0,0,Scabies
50,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
51,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
52,8,0,8,7,5,8,0,0,8,0,0,0,0,0,Scabies
53,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
54,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
55,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
56,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
57,8,0,8,8,5,8,0,0,7,0,0,0,0,0,Scabies
58,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
59,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
60,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
61,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
62,5,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
63,5,0,7,8,6,8,0,0,8,0,5,0,0,0,Scabies
64,5,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
65,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
66,8,0,7,6,8,7,0,0,8,0,0,0,0,0,Scabies
67,9,0,8,9,9,8,5,0,8,0,0,0,0,0,Scabies
68,9,0,8,8,9,8,0,0,8,0,5,0,0,0,Scabies
69,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
70,5,0,8,8,5,8,0,0,8,0,0,0,0,0,Scabies
71,8,0,8,8,5,5,0,0,8,0,0,0,0,0,Scabies
72,5,0,8,8,5,5,0,0,7,0,0,0,0,0,Scabies
73,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
74,8,0,7,7,8,8,0,0,8,0,0,0,0,0,Scabies
75,8,0,8,8,8,8,0,0,8,0,0,0,0,0,Scabies
76,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
77,8,0,8,8,8,5,0,0,8,0,5,0,0,0,Scabies
78,7,0,6,6,8,5,0,0,8,0,0,0,0,0,Scabies
79,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
80,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
81,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
82,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
83,7,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
84,8,0,8,8,8,5,0,0,8,0,0,0,0,0,Scabies
85,8,0,8,8,5,5,0,0,6,0,5,0,0,0,Scabies
86,8,0,8,8,5,5,0,0,8,0,0,0,0,0,Scabies
87,0,8,5,0,5,0,0,0,8,0,0,0,0,8,Cat Flea
88,0,8,5,0,5,5,0,0,8,0,0,0,0,8,Cat Flea
89,0,8,5,0,5,5,0,0,8,0,0,0,0,8,Cat Flea
90,0,7,5,0,5,5,0,0,8,0,0,0,0,6,Cat Flea
91,0,8,5,0,5,5,0,0,8,0,0,0,0,8,Cat Flea
92,0,8,5,0,5,5,0,0,8,0,0,0,0,8,Cat Flea
93,0,8,5,0,5,5,0,0,8,0,0,0,0,8,Cat Flea
94,0,8,5,0,5,5,0,0,8,0,0,0,0,8,Cat Flea
95,0,7,5,0,5,5,0,0,8,0,0,0,0,7,Cat Flea
96,0,8,5,0,5,5,0,0,8,0,0,0,0,8,Cat Flea
97,0,8,5,0,5,5,0,0,8,0,0,0,0,8,Cat Flea
98,0,8,5,0,8,0,0,0,8,0,0,0,0,8,Cat Flea
99,0,8,5,0,8,5,0,0,8,0,0,0,0,8,Cat Flea
100,0,8,5,0,5,0,0,0,8,0,0,0,0,8,Cat Flea
101,0,8,5,0,5,8,0,0,8,0,0,0,0,8,Cat Flea
102,0,9,8,0,8,8,0,0,8,0,0,0,0,8,Cat Flea
103,0,9,8,0,8,8,0,0,0,0,0,0,0,8,Cat Flea
104,0,9,7,0,8,0,0,0,0,0,0,0,0,8,Cat Flea
105,0,9,7,0,8,0,0,0,0,0,0,0,0,7,Cat Flea
106,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
107,0,8,5,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
108,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
109,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
110,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
111,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
